mcc_code;mcc_category
3635;Путешествия
3636;Путешествия
3637;Путешествия
3638;Путешествия
3639;Путешествия
3640;Путешествия
3641;Путешествия
3642;Путешествия
3643;Путешествия
3644;Путешествия
3645;Путешествия
3646;Путешествия
3647;Путешествия
3648;Путешествия
3649;Путешествия
3650;Путешествия
3651;Путешествия
3652;Путешествия
3653;Путешествия
3654;Путешествия
3655;Путешествия
3656;Путешествия
3657;Путешествия
3658;Путешествия
3659;Путешествия
3660;Путешествия
3661;Путешествия
3662;Путешествия
3663;Путешествия
3664;Путешествия
3665;Путешествия
3666;Путешествия
3667;Путешествия
3668;Путешествия
3669;Путешествия
3670;Путешествия
3671;Путешествия
3672;Путешествия
3673;Путешествия
3674;Путешествия
3675;Путешествия
3676;Путешествия
3677;Путешествия
3678;Путешествия
3679;Путешествия
3680;Путешествия
3681;Путешествия
3682;Путешествия
3683;Путешествия
3684;Путешествия
3685;Путешествия
3686;Путешествия
3687;Путешествия
3688;Путешествия
3689;Путешествия
3690;Путешествия
3691;Путешествия
3692;Путешествия
3693;Путешествия
3694;Путешествия
3695;Путешествия
3696;Путешествия
3697;Путешествия
3698;Путешествия
3699;Путешествия
3700;Путешествия
3701;Путешествия
3702;Путешествия
3703;Путешествия
3704;Путешествия
3705;Путешествия
3706;Путешествия
3707;Путешествия
3708;Путешествия
3709;Путешествия
3710;Путешествия
3711;Путешествия
3712;Путешествия
3713;Путешествия
3714;Путешествия
3715;Путешествия
3716;Путешествия
3717;Путешествия
3718;Путешествия
3719;Путешествия
3720;Путешествия
3721;Путешествия
3722;Путешествия
3723;Путешествия
3724;Путешествия
3725;Путешествия
3726;Путешествия
3727;Путешествия
3728;Путешествия
3729;Путешествия
3730;Путешествия
3731;Путешествия
3732;Путешествия
3733;Путешествия
3734;Путешествия
3735;Путешествия
3736;Путешествия
3737;Путешествия
3738;Путешествия
3739;Путешествия
3740;Путешествия
3741;Путешествия
3742;Путешествия
3743;Путешествия
3744;Путешествия
3745;Путешествия
3746;Путешествия
3747;Путешествия
3748;Путешествия
3749;Путешествия
3750;Путешествия
3751;Путешествия
3752;Путешествия
3753;Путешествия
3754;Путешествия
3755;Путешествия
3756;Путешествия
3757;Путешествия
3758;Путешествия
3759;Путешествия
3760;Путешествия
3763;Путешествия
3770;Путешествия
3772;Путешествия
3775;Путешествия
3776;Путешествия
3777;Путешествия
3778;Путешествия
3779;Путешествия
3780;Путешествия
3781;Путешествия
3782;Путешествия
3783;Путешествия
3784;Путешествия
3785;Путешествия
3786;Путешествия
3787;Путешествия
3788;Путешествия
3789;Путешествия
3790;Путешествия
3791;Путешествия
3792;Путешествия
3793;Путешествия
3794;Путешествия
3795;Путешествия
3796;Путешествия
3797;Путешествия
3798;Путешествия
3799;Путешествия
3800;Путешествия
3801;Путешествия
3802;Путешествия
3803;Путешествия
3804;Путешествия
3805;Путешествия
3806;Путешествия
3807;Путешествия
3808;Путешествия
3809;Путешествия
3810;Путешествия
3811;Путешествия
3812;Путешествия
3813;Путешествия
3814;Путешествия
3815;Путешествия
3816;Путешествия
3817;Путешествия
3818;Путешествия
3819;Путешествия
3820;Путешествия
3821;Путешествия
3822;Путешествия
3823;Путешествия
3824;Путешествия
3825;Путешествия
3826;Путешествия
3827;Путешествия
3828;Путешествия
3829;Путешествия
3830;Путешествия
3831;Путешествия
3832;Путешествия
3833;Путешествия
3834;Путешествия
3835;Путешествия
3836;Путешествия
4411;Путешествия
7011;Путешествия
3501;Путешествия
7012;Путешествия
4011;Путешествия
4112;Путешествия
5655;Спорт
5940;Спорт
5941;Спорт
7032;Спорт
7941;Спорт
7997;Спорт
6011;Финансы
4814;Связь
6010;Финансы
4829;Финансы
5999;Прочее
5211;Ремонт
7995;Развлечения
8999;Услуги
5200;Ремонт
5735;Услуги
6012;Финансы
4812;Связь
5261;Ремонт
4900;Услуги
7399;Услуги
4816;Связь
6051;Финансы
5943;Ремонт
6536;Финансы
5251;Ремонт
4789;Транспорт
5719;Ремонт
7298;Красота
5714;Ремонт
9399;Услуги
6211;Финансы
4899;Связь
8641;Прочее
7299;Услуги
6300;Услуги
5993;Прочее
5231;Ремонт
5532;Авто
4215;Услуги
9222;Прочее
8398;Прочее
7273;Услуги
5099;Прочее
4214;Услуги
7278;Услуги
5713;Ремонт
9311;Прочее
5733;Прочее
5571;Авто
5199;Прочее
5169;Прочее
8699;Прочее
9402;Услуги
8244;Услуги
9211;Прочее
6513;Услуги
